timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1675249500000,23006.75,23031.85,23004.39,23021.84,799.64592,1675249799999,18404388.2001715,20709,442.01586,10173473.7291546,0
1675249800000,23022.74,23030.0,23012.73,23017.66,739.4656,1675250099999,17023776.5984477,17983,355.23093,8178118.1731592,0
1675250100000,23016.76,23041.68,23015.1,23032.0,864.51547,1675250399999,19909805.5935974,20976,444.87915,10245620.5469124,0
1675250400000,23032.0,23068.99,23029.99,23062.89,1148.24125,1675250699999,26466414.9668904,26079,623.63552,14374444.4083315,0
1675250700000,23063.51,23100.0,23054.84,23087.99,1424.8548,1675250999999,32889915.4027309,31472,799.75893,18461222.6233747,0
1675251000000,23086.83,23095.93,23065.95,23074.69,978.47609,1675251299999,22586329.7130531,24263,468.65488,10818490.9994545,0
1675251300000,23073.82,23088.55,23064.24,23084.67,656.42691,1675251599999,15147823.5654388,18629,318.52516,7350528.137329,0
1675251600000,23084.67,23096.12,23073.76,23077.14,690.75914,1675251899999,15945147.9152671,18118,313.53301,7237623.7966629,0
1675251900000,23077.14,23083.47,23063.16,23065.12,503.93298,1675252199999,11627546.0616148,13904,225.45806,5202163.6790355,0
1675252200000,23064.45,23074.9,23056.27,23066.19,486.94678,1675252499999,11232041.124966,15187,244.63133,5642777.841476,0
1675252500000,23065.72,23085.7,23062.77,23077.52,579.4565,1675252799999,13369706.1849492,16608,324.85817,7495608.2816217,0
1675252800000,23078.43,23086.66,23063.96,23085.11,826.49957,1675253099999,19071360.0999943,20619,430.08508,9924494.3254828,0
1675253100000,23084.92,23098.65,23071.08,23096.26,716.75289,1675253399999,16546341.4935697,19730,396.67061,9157536.9176281,0
1675253400000,23096.26,23098.8,23081.01,23096.39,739.56969,1675253699999,17078112.0541926,20926,358.39574,8276313.500847,0
1675253700000,23096.39,23099.92,23081.48,23083.52,607.44542,1675253999999,14025998.3580659,17148,310.23551,7163437.1463675,0
1675254000000,23083.52,23108.09,23080.0,23083.57,959.63141,1675254299999,22160213.4798782,23714,485.08676,11202126.9657008,0
1675254300000,23084.52,23097.88,23075.0,23093.66,648.12492,1675254599999,14961448.9467406,17993,316.32823,7302481.3630113,0
1675254600000,23093.67,23095.38,23079.21,23090.54,555.76005,1675254899999,12830869.4534017,16822,246.92473,5700877.9129272,0
1675254900000,23091.16,23096.82,23086.8,23089.05,423.35656,1675255199999,9775886.3058878,13114,199.57564,4608554.9804141,0
1675255200000,23089.92,23095.57,23076.27,23078.56,548.83094,1675255499999,12670376.2856674,14728,244.68783,5649062.4129535,0
1675255500000,23078.56,23092.99,23075.83,23082.06,496.45094,1675255799999,11460113.0432076,12669,232.71321,5372143.6444568,0
1675255800000,23082.6,23083.16,23057.33,23062.98,694.35164,1675256099999,16015541.3429713,18609,295.09673,6806602.3093076,0
1675256100000,23062.24,23071.75,23048.1,23060.63,811.1152,1675256399999,18703171.6459932,20163,426.09428,9825266.3693683,0
1675256400000,23061.34,23061.38,23035.23,23042.74,946.63067,1675256699999,21817498.9572754,22773,430.45668,9921231.1682081,0
1675256700000,23041.98,23055.0,23015.34,23049.67,1251.13534,1675256999999,28826624.0464857,28054,616.35436,14201357.6935438,0
1675257000000,23049.67,23069.28,23037.0,23068.95,779.20953,1675257299999,17964412.5441852,20699,412.29731,9505591.4448164,0
1675257300000,23068.95,23140.89,23063.0,23100.93,3287.32961,1675257599999,75968731.8933772,56928,1674.92623,38705401.3922677,0
1675257600000,23102.01,23139.0,23100.93,23118.94,1300.2796,1675257899999,30066725.347728,33337,652.71828,15093198.3517222,0
1675257900000,23118.92,23132.0,23093.0,23104.77,1046.70474,1675258199999,24188985.3714293,26808,506.03702,11694586.3786815,0
1675258200000,23104.77,23125.96,23098.73,23115.27,944.50541,1675258499999,21828944.2171775,24244,444.91705,10282796.3079333,0
1675258500000,23114.37,23119.22,23096.6,23101.56,674.22134,1675258799999,15578890.1668246,18117,306.98272,7093487.1683791,0
1675258800000,23101.72,23104.0,23068.55,23070.33,874.82429,1675259099999,20195879.0439337,23024,361.56485,8346840.8991025,0
1675259100000,23071.22,23101.99,23066.0,23099.05,730.29215,1675259399999,16858973.6717208,20735,373.21661,8615910.5859139,0
1675259400000,23098.23,23108.0,23085.73,23091.73,667.00702,1675259699999,15406519.7785442,19461,319.72719,7385256.5732678,0
1675259700000,23091.73,23105.0,23079.55,23086.1,617.7873,1675259999999,14264358.822188,18424,312.59744,7217880.3339003,0
